text,label
@argentings WE COULD HAVE HAD IT AAAAAAALLLL I’m not even on that season and I’m devastated,Relevant
Obama Declares Disaster for Typhoon-Devastated Saipan:  http://t.co/M6LvKXl9ii,Relevant
devastated by today's allegations.,Not Relevant
@MikeParrActor devastated your no longer in emmerdale best character with so much more to give #superbactor your going to be missed,Not Relevant
@Keegan172 I'm devastated,Not Relevant
@_Gags_ My Mommy will be devastated lol #NoMorePod,Not Relevant
Devastated. Already missing my @coleenlisa.  https://t.co/3p6Xakt7rh,Not Relevant
Absolutely devastated ???? no Ross no!! #Emmerdale,Not Relevant
@emmerdale I'll be devastated if it's cain...such a great character ??,Not Relevant
Is Stuart Broad the Prime Minister yet. Best thing in Sport I have seen for years that. The Aussies look devastated. Bless ??????,Not Relevant
Ooh the girl that won actually is meeting the boys im devastated ?????? but congrats to the winner!!! #OTRABaltimore,Not Relevant
Obama Declares Disaster for Typhoon-Devastated Saipan: Obama signs disaster declaration for Northern Marians a... http://t.co/XDt4VHFn7B,Relevant
@WesleyLowery ?????? how are you going to survive this devastation?,Relevant
I'm in utter shock and devastation you don't go to work to be left feeling how I do now. Life really is too short ??,Relevant
In this fragile global economy considering the devastation the alternatives would cause ... it's the best reason .. https://t.co/zwVyisyP2B,Relevant
"In Kalmikya Astrakhan Volgagrad and Dagestan there is already no food left for the locusts

  http://t.co/79Fw9zWxtP via @TIMEWorld",Relevant
70 Years After Atomic Bombs Japan Still Struggles With War Past: The anniversary of the devastation wrought b... http://t.co/pmS4pMuR0q,Relevant
Obsolete devastation from Broad with the Ball. And Root doing it with Bat in hand. Great Day #ashes2015 #ENGvAUS http://t.co/a7TJAWWtJ7,Not Relevant
"http://t.co/IQoWZgvZNl #LatestNews #CNBC #CNN

The anniversary of the devastation wrought by the first military use of an atomic weapon c…",Relevant
70 Years After Atomic Bombs Japan Still Struggles With War Past: The anniversary of the devastation wrought b... http://t.co/ohNdh2rI0V,Relevant
70 Years After Atomic Bombs Japan Still Struggles With War Past: The anniversary of the devastation wrought b... http://t.co/iTBJ6DKRZI,Relevant
@cllrraymogford Indeed Ray devastation would be far more comprehensive #Hiroshima,Relevant
70 Years After Atomic Bombs Japan Still Struggles With Wartime Past: The anniversary of the devastation wroug... http://t.co/EfsA6pbeMC,Relevant
@ssssnell yeah I agree but it's the shock factor that ropes people in if they just show devastation then it angers me,Not Relevant
70 Years After Atomic Bombs Japan Still Struggles With War Past: The anniversary of the devastation wrought b... http://t.co/aG65u29SGo,Relevant
Classic WWW — Hiroshima/Nagasaki: Atomic Devastation Hidden for Decades: The people of Hiroshima and Nagasaki ... http://t.co/pLo2QkrWHu,Relevant
70 Years After Atomic Bombs Japan Still Struggles With War Past: The anniversary of the devastation wrought b... http://t.co/LtVVPfLSg8,Relevant
