text,label
"there is a forest fire at spot pond, geese are fleeing across the street, I cannot save them all",Relevant
Forest fire near La Ronge Sask. Canada,Relevant
All residents asked to 'shelter in place' are being notified by officers. No other evacuation or shelter in place orders are expected,Relevant
"13,000 people receive #wildfires evacuation orders in California ",Relevant
Just got sent this photo from Ruby #Alaska as smoke from #wildfires pours into a school ,Relevant
#RockyFire Update => California Hwy. 20 closed in both directions due to Lake County fire - #CAfire #wildfires,Relevant
Apocalypse lighting. #Spokane #wildfires,Relevant
"#flood #disaster Heavy rain causes flash flooding of streets in Manitou, Colorado Springs areas",Relevant
Typhoon Soudelor kills 28 in China and Taiwan,Relevant
We're shaking...It's an earthquake,Relevant
I'm on top of the hill and I can see a fire in the woods...,Relevant
There's an emergency evacuation happening now in the building across the street,Relevant
I'm afraid that the tornado is coming to our area...,Relevant
Three people died from the heat wave so far,Relevant
Haha South Tampa is getting flooded hah- WAIT A SECOND I LIVE IN SOUTH TAMPA WHAT AM I GONNA DO WHAT AM I GONNA DO FVCK #flooding,Relevant
#raining #flooding #Florida #TampaBay #Tampa 18 or 19 days. I've lost count ,Relevant
#Flood in Bago Myanmar #We arrived Bago,Relevant
Damage to school bus on 80 in multi car crash #BREAKING ,Relevant
"They'd probably still show more life than Arsenal did yesterday, eh? EH?",Not Relevant
Hey! How are you?,Not Relevant
What's up man?,Not Relevant
I love fruits,Not Relevant
Summer is lovely,Not Relevant
"Heard about #earthquake is different cities, stay safe everyone.",Relevant
"there is a forest fire at spot pond, geese are fleeing across the street, I cannot save them all",Relevant
Forest fire near La Ronge Sask. Canada,Relevant
All residents asked to 'shelter in place' are being notified by officers. No other evacuation or shelter in place orders are expected,Relevant
"13,000 people receive #wildfires evacuation orders in California ",Relevant
Just got sent this photo from Ruby #Alaska as smoke from #wildfires pours into a school ,Relevant
#RockyFire Update => California Hwy. 20 closed in both directions due to Lake County fire - #CAfire #wildfires,Relevant
Apocalypse lighting. #Spokane #wildfires,Relevant
